text,sentiment
wo find huge olive garden style portions unlimited breadsticks,-1
got half order could finish even sharing,1
welp almost 2 weeks stayed knock wood,1
hard spot place literally u got ta look signs,-1
man place bring bad mood upside,1
bbt tasted life hard tapioca,0
came folks tom petty concert,0
paid,0
server friendly service quick attentive,1
daughter even dropped sandwich moving one table another one staff members clearing tables said get new one could even pick,1
inspected car sure enough found plenty things needed fixing,0
waited less 5 minutes,0
force excellent banjoes cafe sight bring chains ran citizens enrolled workers release program,-1
three pieces chicken,0
slow read move life,0
use company refer business,1
everything ceiling black,1
maybe hungry,1
hilton honors travel,1
decided give place another chance,0
patron pe since going thier restaurant pasadena years ago,0
walked right put order,0
admit really good professionals clean place,1
churros bit much cinnamon tasted sort bitter,-1
ask,0
yes advocate,0
indulged wine pairing cyndi preferred order drinks la carte,0
worth,-1
currently hotel room writing review,0
machine work sir throw oranges machine,1
try dipping hummus dips left,1
line work travel rent cars lot,0
decor ambiance much,-1
spicy tuna roll red snapper sashimi octopus philly roll spider roll,0
part trail shaded trees bushes rocks sun entire time,0
take dog,1
many power outlets think searched room saw one,-1
food remains old chinese restaurants parents used take us kid living los angeles,0
know took long get done,1
90 minute message foot scrub,0
issues beginning access car,-1
husband australia chicken schnitty regular meal looking forward homemade schnitzel,0
cant wait culvers open coming soon near winco,1
came celebrate friends birthday,1
especially since recommended friend lives side town live side town,0
daughter took saturday class enjoyed,1
consider weeks wasted,-1
could go menu changes daily basis,0
matt called several days later asking happy purchase,1
happy accident received wrong appetizer surprise tempuraed tentacle placed table,1
minor accident wherein right side bumper side swiped another car changing lanes,-1
even seem try make feel welcomed cancelled appointment,-1
second visit going second vikings game,0
bread soft gooey,1
week later called order balloons teddy bear delivered local hospital icu,0
decided test see notary services town open weekdays meant wait weeks get work done,0
went day wanted mexican food close apartment,0
really huge deal bummed great sleeper nothing good watch free anyway laying awake,-1
get ready pay local per person heard want sit table charge,-1
ken thanks comment,1
amazed abilities,1
never seen many good cuts meat go untouched,0
instead getting upset constructive criticism ensuring customer happy,-1
onto food,0
laws excited treat husband yu knowing much loved fisherman lobster crab specials,1
maybe gotten cupcake albertsons bud,0
hope could open restaurant edmonton,1
ordered vegetable chow mein kung pao chicken beijing pork wonton chicken broth hand pulled noodles,0
planned sons 8th birthday party somewhere else wound falling last minute,-1
trip cabela,-1
downsides 1 care wonton soup,-1
love every number,-1
found place great reviews thought try,1
going nice one nails 148 north queen street toronto year every 3 weeks,1
vacation last week breakfast cracked front tooth,-1
visited several times coffee pastries fine,1
thing food slow cooked understandable want good bbq worth wait,1
